Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
Kitboga,650845095,70185,43878,9273,958977,277296,10135019,TRUE,FALSE,English
UberHaxorNova,649566300,167175,10150,3885,481390,71564,7044702,TRUE,FALSE,English
Doublelift,645800100,44865,65774,14394,1548390,160985,13044817,TRUE,FALSE,English
Sequisha,639217920,206685,45832,3092,325933,89387,7921035,TRUE,TRUE,English
老皮 (mobilmobil),633901590,112365,13448,5641,466943,25406,21136334,TRUE,TRUE,Chinese
JohnPitterTV,631941000,520560,3331,1213,364863,124432,37081843,TRUE,FALSE,Portuguese
Mandzio,630483135,97995,27835,6433,595672,399711,18878978,TRUE,FALSE,Polish
ESL_SC2,628784925,397470,57127,1581,341604,51379,14794506,TRUE,FALSE,English
Shlorox,628713405,123825,21757,5077,368197,50874,19382903,TRUE,FALSE,German
LyonWGFLive,628456875,12180,76770,51597,478986,375183,6964386,TRUE,FALSE,Italian
악어 (jdm2088),626963910,61020,55453,10274,322123,65721,8713045,TRUE,FALSE,Korean
BotezLive,625522725,99510,86864,6286,843516,685447,46641520,TRUE,FALSE,English
BobRoss,622719180,235590,11299,2643,1893505,406734,7329415,TRUE,FALSE,English
Jankos,620056455,54630,42426,11350,980663,449051,21492439,TRUE,FALSE,English
PietSmiet,616760625,106170,125228,5809,678609,128103,18028830,TRUE,FALSE,German
SummonersInnLive,614673630,60300,50848,10193,536905,41438,12293524,TRUE,FALSE,German
midbeast,613257630,117405,32945,5223,531183,228154,16512531,TRUE,FALSE,English
mount,613142940,176805,27820,3467,522955,412527,15226446,TRUE,FALSE,Portuguese
MarkitoNavaja,610936185,61260,113035,9972,1596522,1377833,15295305,TRUE,TRUE,Spanish
Distortion2,609639990,190335,17760,3202,366713,66301,9127163,TRUE,TRUE,English
C_a_k_e,607365105,116370,18443,5219,320620,27617,20442141,TRUE,FALSE,Russian
Foolish__Gamers,607173885,55695,114489,10901,1165409,1165192,12794653,TRUE,FALSE,English
Sacriel,605026935,135525,48887,4464,681483,21208,50163037,TRUE,FALSE,English
LITkillah,603969465,46305,103784,13043,1734867,1708392,13957223,TRUE,FALSE,Spanish
R6esportsBR,602577300,80880,87521,7450,469319,175831,15203787,TRUE,FALSE,Portuguese
VooDooSh,600746010,130485,12636,4603,110873,51623,15898490,TRUE,FALSE,Russian
ELoTRiX,598973250,84690,50701,7072,1265364,448459,10559986,TRUE,TRUE,German
CasinoDaddy,597897285,337185,5769,1773,155682,11437,6559969,FALSE,TRUE,English
餐餐自由配 (blusewilly_retry),596249445,104535,17585,5703,396496,31988,19304676,TRUE,FALSE,Chinese
