Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
nugiyen,193215540,176730,12324,1093,133059,14921,4021270,TRUE,FALSE,English
NAKOO_Fn,192725490,99810,35326,1930,479481,455736,10597782,TRUE,FALSE,Spanish
Complexity,192712815,22995,44249,8380,115665,41118,8168430,TRUE,FALSE,English
TheGuill84,192533775,90435,8608,2128,230653,103912,4975541,TRUE,FALSE,French
Rubini,192404670,131355,5354,1464,117483,25703,6386718,TRUE,TRUE,Portuguese
RenanSouzones,192013350,177810,4633,1079,227680,159906,6190091,TRUE,FALSE,Portuguese
qSnake,191981190,154155,4166,1245,212824,20084,4848423,TRUE,FALSE,Russian
MasterTay,191854755,126435,11169,1517,127442,12186,5770985,TRUE,TRUE,German
Heideltraut,191710050,117570,5461,1630,169846,19581,3626295,TRUE,TRUE,German
kragiee,191560215,128775,12941,1487,277323,27018,3961018,TRUE,FALSE,English
Patriota,191548965,86205,29435,2222,894880,352870,6321571,TRUE,FALSE,Portuguese
GENSYXA,191531415,41055,40832,4665,645924,377406,14760852,TRUE,TRUE,Russian
DougisRaw,191162430,175530,22641,1089,166646,67849,3308738,TRUE,TRUE,English
Lobanjicaa,191108685,91530,9671,2087,322096,175583,39924883,TRUE,TRUE,English
AyarBaffo,191091975,85965,12139,2222,372991,220298,5646072,TRUE,FALSE,Italian
Dendi,191071530,43500,10848,4392,798931,94064,7319062,TRUE,FALSE,English
TpaBoMaH,190974585,82410,11966,2317,238650,104542,8882058,TRUE,FALSE,Russian
Kennzy,190963245,155145,69371,1230,214650,196682,5536266,TRUE,FALSE,Portuguese
Killars,190618335,378720,26234,503,109226,65995,1736290,TRUE,FALSE,English
superjj102,190605135,133065,4921,1432,126410,4417,1873899,TRUE,FALSE,English
csgomc_ru2,190477110,83820,59119,2272,229673,120162,12347784,TRUE,FALSE,Russian
Lapi,190443780,172215,8211,1105,146783,19827,7281250,TRUE,FALSE,French
Anna_Chess,189808365,65475,18222,2898,253293,229042,26159930,TRUE,FALSE,English
ipav999,189766290,261105,4479,726,196068,64823,4225545,TRUE,FALSE,English
HAchubby,189519915,79335,10552,2388,280194,81616,4547360,TRUE,FALSE,English
jccaylen,189332115,41175,14826,4598,200051,150299,2554919,TRUE,TRUE,English
JOEYKAOTYK,188805000,161985,13650,1165,90333,37548,5439064,TRUE,FALSE,English
OfficialAndyPyro,188678475,205050,5286,920,261632,8936,8076946,TRUE,TRUE,Finnish
Mynthos,188611170,149220,6826,1263,60173,36018,3135965,TRUE,FALSE,French
Arteezy,188451795,9030,67543,20869,660911,77651,4900942,TRUE,TRUE,English
Weak3n,188031915,128760,4948,1460,208604,29851,7863442,TRUE,FALSE,English
StreamieBR,187705245,260250,3982,721,117226,55651,2769003,TRUE,FALSE,Portuguese
CaptainSparklez,187276575,77235,46631,2424,1876449,373266,5164694,TRUE,FALSE,English
ernesBarbeQ,187133970,80520,46431,2324,521382,398606,8908547,TRUE,FALSE,Spanish
iGeStarK,186506910,112590,13893,1656,400669,253319,7649119,TRUE,FALSE,Spanish
keiozin,186497775,58905,19626,3166,329772,229959,6707130,TRUE,FALSE,Portuguese
TrymacsKaktusKoenig,185871120,392415,10136,473,77959,72613,2854227,FALSE,FALSE,German
PatoPapao,185847150,91725,9675,2026,695469,58417,6757860,TRUE,FALSE,Portuguese
PainLivestream,185766555,100980,18706,1839,526292,101274,3538959,TRUE,TRUE,German
OkCode,185711700,113310,9839,1638,101561,95258,3278633,TRUE,FALSE,English
xHankyy,185675415,125445,19326,1480,247922,164692,4601874,TRUE,FALSE,German
mailand,185608575,80400,10052,2308,118775,36134,4769472,TRUE,TRUE,German
ZeROBADASS,185527980,38685,10752,4795,379556,209075,3910585,TRUE,FALSE,Portuguese
Incon,185193945,121695,17351,1521,211276,35334,2324722,TRUE,FALSE,English
Adal,185117445,59085,13131,3133,624060,475023,11133856,TRUE,FALSE,Turkish
Tourva,185026095,119430,17114,1549,328344,112928,13420608,TRUE,FALSE,English
Shisheyu_Mayamoto,184836495,108000,13364,1711,64447,31773,2422985,TRUE,FALSE,French
JEFFAOCS,184646340,218445,12631,845,223713,155214,4435574,TRUE,TRUE,Portuguese
KamoLRF,184419465,83625,18282,2205,747938,96161,5129511,TRUE,FALSE,German
Datto,184369710,67950,81815,2713,595064,83617,5736720,TRUE,TRUE,English
Mmorpg,184228185,173625,6609,1061,239889,10884,3218327,TRUE,FALSE,English
